City,Latitude,Longitude,Temperature,Feels Like,Humidity,Pressure,Wind Speed,Cloudiness
Bengkulu,-3.8,102.27,75.42,80.76,84,1011,4.27,63
Eyl,7.98,49.82,76.32,75.34,66,1013,10.42,63
Ponta do Sol,32.67,-17.1,59.02,53.26,59,1014,8.05,63
Zavetnoye,47.12,43.89,46.42,34.7,69,1014,15.82,63
Port Elizabeth,-33.92,25.57,57.2,54.97,87,1011,5.82,63
Avarua,-21.21,-159.78,77.0,79.9,78,1013,8.05,63
Bluff,-46.6,168.33,51.44,45.0,78,1004,9.28,63
Surdulica,42.69,22.17,48.52,40.03,10,988,3.53,63
Hobart,-42.88,147.33,50.9,42.53,53,1022,9.17,63
San Ramon,37.78,-121.98,59.16,46.4,47,1008,18.34,63
Hilo,19.73,-155.09,80.94,80.31,55,1017,9.17,63
Tasiilaq,65.61,-37.64,30.2,17.69,74,1000,13.87,63
Esperance,-33.87,121.9,51.8,47.46,87,1021,6.93,63
Yakovlevka,44.42,133.48,38.25,32.22,85,1009,4.94,63
Kapaa,22.08,-159.32,81.41,84.69,78,1018,11.41,63
Punta Arenas,-53.15,-70.92,55.2,37.02,37,1012,25.28,63
George Town,5.41,100.34,78.4,86.61,88,1010,3.36,63
Saint Paul Harbor,57.79,-152.41,41.0,35.04,75,1025,4.7,63
Ribeira Grande,38.52,-28.7,59.0,51.53,87,1014,16.11,63
Zlobin,45.29,14.65,57.2,48.65,47,1030,10.29,63
Port Alfred,-33.59,26.89,61.48,57.29,81,1013,10.54,63
Cape Town,-33.93,18.42,57.0,52.75,93,1011,10.29,63
Rikitea,-23.12,-134.97,71.58,65.77,77,1020,18.92,63
Busia,0.45,34.08,65.43,68.02,92,1013,3.33,63
Asău,46.43,26.4,46.99,42.93,80,1028,3.67,63
Hasaki,35.73,140.83,50.65,49.12,93,1018,2.24,63
Thompson,55.74,-97.86,14.0,6.35,85,1017,3.36,63
Atuona,-9.8,-139.03,78.28,75.81,76,1013,17.98,63
Bludenz,47.15,9.82,45.01,40.64,100,1025,5.7,63
Santa Lucía,27.91,-15.54,70.27,70.61,68,1018,4.7,63
Pisco,-13.7,-76.22,67.15,63.21,72,1011,11.41,63
La Asuncion,11.03,-63.86,80.4,83.89,85,1007,12.68,63
Dikson,73.51,80.55,-0.49,-9.53,89,1012,4.65,63
Vieux-Habitants,16.06,-61.77,78.8,86.86,83,1010,2.24,63
East London,-33.02,27.91,64.56,60.19,79,1013,12.24,63
Bogács,47.9,20.53,45.14,40.77,67,1034,2.21,63
Hambantota,6.12,81.12,75.2,83.03,100,1010,4.7,63
Norman Wells,65.28,-126.83,5.0,-2.51,84,1008,2.24,63
Port Lincoln,-34.73,135.87,57.15,48.74,69,1027,13.73,63
Butaritari,3.07,172.79,81.25,82.76,76,1012,13.62,63
Tomatlán,19.93,-105.25,85.32,89.58,63,1008,7.14,63
Ahipara,-35.17,173.17,68.49,65.52,76,1010,11.5,63
Pouembout,-21.13,164.9,83.25,87.15,54,1015,2.33,63
Padang,-0.95,100.35,78.04,83.34,75,1011,3.67,63
Altay,47.87,88.12,28.54,22.95,86,1029,1.97,63
Ushuaia,-54.8,-68.3,49.66,41.22,51,1010,8.7,63
Bilma,18.69,12.92,66.67,60.91,25,1016,3.31,63
